word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
visual arts,2.851591034414014e-06,2.6709751637099544e-06,1.044270447891904e-06,2.9745888241450302e-06,0.0007523776148445904,0.00361054134555161
squeezebox,2.8369761366775492e-06,2.6576381060294807e-06,1.0402707175671821e-06,0.0005479228566400707,2.4389928512391634e-06,2.1529722289415076e-06
free solo climbing,2.8352640129014617e-06,0.0004921850631944835,1.0403252872492885e-06,2.957743618026143e-06,2.4388159545196686e-06,2.152653905795887e-06
holy places,2.8391630166879622e-06,2.6602854177326662e-06,1.0409296464786166e-06,2.9606617317767814e-06,0.0014630992664024234,2.1544306036958005e-06
arctic,0.0044230930507183075,0.0014520857948809862,0.002862961031496525,3.006307451869361e-06,2.472204187142779e-06,2.189148972320254e-06
cane corso,2.8379827199387364e-06,0.0004919550847262144,1.0441709719088976e-06,2.9610823730763514e-06,2.4389555619563907e-06,2.1545722574956017e-06
reindeer,2.8361941986077e-06,0.0004921387881040573,1.0405127568446915e-06,2.958087861770764e-06,2.4397279503318714e-06,2.1534137886192184e-06
facade,2.845066319423495e-06,2.6651482585293707e-06,1.0449977025928092e-06,0.0033625266514718533,2.4523151296307333e-06,6.419152668968309e-06
frog,2.8414817734301323e-06,0.00077928660903126,1.0428234418213833e-06,2.9619636734423693e-06,2.4410171590716345e-06,2.154979256374645e-06
sunset,2.863409918063553e-06,2.6907637220574543e-06,0.0034800341818481684,0.0008681585895828903,0.0007155880448408425,2.190878376495675e-06
male,0.0027413314674049616,2.6741126930573955e-06,0.00020207103807479143,2.982841124321567e-06,0.0008739152108319104,3.223287785658613e-05
arm,0.0005261368933133781,2.6619425170792965e-06,1.0424685115140164e-06,0.00405796617269516,2.441021933918819e-06,2.1578912310360465e-06
event,0.014105353504419327,0.009518939070403576,0.001892557949759066,0.002257852116599679,0.007606822066009045,2.242401478724787e-06
bovine,0.0005262126214802265,0.0036434775684028864,1.0440473943162942e-06,0.002127180341631174,2.4458968255203217e-06,2.1631165054714074e-06
warehouse,2.8370923246257007e-06,2.6590957986627473e-06,1.0413904192319023e-06,0.0005478196544572711,2.439104491713806e-06,2.155122956537525e-06
killer whale,2.8364459012664156e-06,2.6573516151984222e-06,0.00019276385137345642,2.957295237138169e-06,2.4385485630773474e-06,2.153021569029079e-06
dressmaker,2.8350693810352823e-06,2.6581119527691044e-06,1.0407609352114378e-06,2.9596906188089633e-06,2.4400210349995177e-06,0.0029549766331911087
museum,2.8422730338206748e-06,2.665077090568957e-06,1.0443800420034677e-06,2.966492274936172e-06,2.4507885427738074e-06,0.0012914625694975257
rhesus macaque,2.83504505205201e-06,2.6562063339952147e-06,1.040900883708673e-06,2.9573345727840206e-06,0.0007156501524150372,2.1541879959841026e-06
stairs,2.836656904037227e-06,2.6573516151984222e-06,1.0415383258077782e-06,0.0005478609236888587,2.439455784042366e-06,2.1539149201998953e-06
happy,0.0008967335452325642,2.689668235689169e-06,1.0522250022404478e-06,0.0010909459087997675,0.005639300681650639,0.0025759954005479813
python family,2.83564531855518e-06,2.6559835077932803e-06,1.0405087778053712e-06,2.9568918762379326e-06,2.4390765247517265e-06,0.002955047180876136
beige,2.834677388818818e-06,2.656444621607079e-06,1.0400455039416556e-06,2.9566408557002433e-06,0.000715703412424773,2.15314275919809e-06
grass,0.007575157098472118,0.012170804664492607,0.0017094233771786094,0.006094221491366625,0.00017401730292476714,0.0006978365126997232
underwater diving,2.8380909498082474e-06,2.6615161914378405e-06,0.00019268077448941767,2.9609807370434282e-06,2.441450305923354e-06,2.1565128918155096e-06
product,0.0004702501464635134,9.333543857792392e-06,0.001427389564923942,2.9660368454642594e-06,2.4447051600873237e-06,2.1586981802101946e-06
