word,topic_0,topic_1,topic_2,topic_3
Vehicle door,6.8915810516045894e-06,5.277872332953848e-05,6.819871487095952e-06,0.0011542910942807794
Arctic fox,6.7821233642462175e-06,6.230835879250662e-06,6.673341431451263e-06,0.0003225881955586374
Tribal chief,6.7265855250298046e-06,6.191386546561262e-06,6.61073954688618e-06,9.055007831193507e-05
Cable-stayed bridge,6.734076123393606e-06,7.212857326521771e-06,6.6256475292902905e-06,0.0001372580009046942
Drawing,0.00042761614895425737,6.279465196712408e-06,8.370361319975927e-05,0.0002390965528320521
Primate,0.00459786131978035,0.0004699659184552729,9.54635652306024e-06,0.00014322860806714743
Metropolitan area,7.623732017236762e-06,0.0025034628342837095,0.0001867100509116426,1.966037234524265e-05
Constellation,0.0013106047408655286,0.00023037414939608425,6.867731826787349e-06,4.922917923977366e-06
Military camouflage,6.7496803239919245e-06,1.7916105207405053e-05,0.0025669694878160954,4.975222509528976e-06
Bedrock,0.001132100005634129,6.242315066629089e-06,6.60969317323179e-06,4.855783572565997e-06
Subway,6.717091764585348e-06,6.183750429045176e-06,0.00012343934213276953,4.8530150706938e-06
Birth,6.719840257574106e-06,0.0001154710043920204,6.611950084334239e-06,4.853644441027427e-06
Spinner dolphin,6.794229193474166e-06,0.0008671482792124152,6.702521204715595e-06,4.8977335609379224e-06
Selling,6.789352028135909e-06,2.533430597395636e-05,0.0008169334614649415,1.873652945505455e-05
Hot air balloon,6.755347385478672e-06,6.213443612068659e-06,0.00040253481711260974,1.5057191376399714e-05
Gun,6.785953701182734e-06,0.00041217083344236016,0.00029297321452759206,4.884318514086772e-06
Shore,6.911220680194674e-06,3.4714055800577626e-05,0.004539967514574528,0.0003427850897423923
Stitch,6.7745731939794496e-06,6.218500402610516e-06,0.00041784069617278874,1.027677262754878e-05
Lamniformes,0.00039908260805532336,0.004082466941326857,2.7854212021338753e-05,2.6298001102986746e-05
Natural landscape,0.010514266788959503,0.013398985378444195,0.010593749582767487,0.003817122895270586
Shark,0.0002935210650321096,0.0070375557988882065,7.071661912050331e-06,2.592618875496555e-05
Sports,0.0006400722195394337,6.253624178498285e-06,6.599426342290826e-06,4.9071500143327285e-06
Landmark,8.643229193694424e-06,0.0009269556030631065,0.004320936743170023,0.0006451723747886717
Earless seal,6.760451469745021e-06,3.326005389681086e-05,6.6474449340603314e-06,0.0001673584629315883
Electric ray,6.753814432158833e-06,0.00027326811687089503,6.6470520323491655e-06,4.86611179439933e-06
Turkish Gecko,6.736433078913251e-06,0.00027283583767712116,6.621377451665467e-06,5.2874920584145e-06
Human leg,0.00044130775495432317,6.213994765857933e-06,6.645657322223997e-06,6.210523224581266e-06
Protest,0.00019407774379942566,6.1980681493878365e-06,6.614693575102137e-06,4.858451575273648e-06
Personal luxury car,6.757563824066892e-06,6.210451829247177e-06,6.652785032201791e-06,0.0003231245500501245
Summit,0.0051717632450163364,1.601572148501873e-05,6.815053893660661e-06,0.00017536456289235502
Eyewear,6.7425712586555164e-06,6.2011481531953905e-06,0.00012360462278593332,9.05715860426426e-05
Text,0.0012612565187737346,6.3066281654755585e-06,6.618018687731819e-06,4.857858584728092e-06
Alley,6.72092983222683e-06,6.184935955388937e-06,6.684915206278674e-06,0.00013992567255627364
Moonlight,6.743439371348359e-06,0.00023979120305739343,6.638879312959034e-06,1.5237150364555418e-05
White stork,6.764862973795971e-06,6.234675765881548e-06,6.667991328868084e-06,0.0003226552507840097
Hill,0.003407595446333289,0.0008391041774302721,0.00399641552940011,0.0002287414245074615
Deep sea fish,6.825089712947374e-06,0.0008590251090936363,6.7221476456325036e-06,4.899569830740802e-06
Military person,0.0003755371435545385,6.337207651085919e-06,0.001752335112541914,4.928649104840588e-06
American black bear,0.0012685474939644337,6.296748324530199e-06,5.633304317598231e-05,4.159458330832422e-05
Seal,6.794552973587997e-06,0.0009602374630048871,6.6807406255975366e-06,0.00071969028795138
Iron,6.829647190897958e-06,0.0011602237354964018,1.6916505046538077e-05,1.116003386414377e-05
Free solo climbing,8.041046385187656e-06,6.193506578711094e-06,0.00018639549671206623,4.8578122004983015e-06
Mouth,0.0022884244099259377,0.0002846328425221145,8.574572711950168e-05,0.00011924670252483338
Slopestyle,0.0004482789081521332,6.2090543906379025e-06,6.647229383816011e-06,4.8659912863513455e-06
Stalagmite,8.87731494003674e-06,6.1971518334758e-06,6.620512522204081e-06,0.00013489478442352265
Public space,7.0182090894377325e-06,7.612020908709383e-06,1.5173997780948412e-05,0.003451972734183073
Stony coral,6.737313469784567e-06,0.0011144677409902215,6.623764875257621e-06,4.863281901634764e-06
Outerwear,0.0010852101258933544,0.0002500079572200775,7.04496551406919e-06,0.002835836261510849
Dinosaur,6.753002708137501e-06,6.220060186024057e-06,0.0002944732259493321,4.868934411206283e-06
Blossom,6.737127023370704e-06,6.196927188284462e-06,6.629521976719843e-06,0.0002156103728339076
Atmosphere,0.00969559047371149,0.005072786472737789,0.011956692673265934,0.0015876241959631443
Turkish coffee,6.7404239416646305e-06,6.1994455791136716e-06,0.0004410519322846085,4.8572514970146585e-06
Science,0.0002465030993334949,0.0003609919804148376,6.7016007960774004e-06,4.8958468141790945e-06
Interaction,6.797813512093853e-06,1.1920855286007281e-05,6.685546395601705e-06,0.0006429534987546504
Leash,6.820066573709482e-06,6.258038865780691e-06,6.723968454025453e-06,0.00021359427773859352
Ushanka,6.7215710259915795e-06,6.182429842738202e-06,6.610487162106438e-06,9.058885916601866e-05
Cufflink,6.84511451254366e-06,6.288154963840498e-06,6.7490755100152455e-06,0.0006730028544552624
Claw,0.00014718965394422412,6.4532187025179155e-06,6.67872109261225e-06,0.00025048910174518824
Adaptation,0.009885197505354881,0.0019561718218028545,0.0019805957563221455,0.017155976966023445
Tourist attraction,6.790018687752308e-06,6.27707049716264e-06,0.0014168515335768461,5.492904529091902e-05
Dome,0.0007672440260648727,6.389956979546696e-06,0.0016186038265004754,4.988140062778257e-06
Water,0.0024354937486350536,0.03674686700105667,0.018660182133316994,0.01437345054000616
Lava plain,0.0003874262038152665,6.226143341336865e-06,0.0003530441608745605,4.885175712843193e-06
Military organization,6.749229669367196e-06,1.798898847482633e-05,0.003974861931055784,5.066402081865817e-06
Swimming,6.748618488927605e-06,0.000455274450359866,0.0011836967896670103,2.9077853469061665e-05
Cart,7.11184884494287e-06,6.201461928867502e-06,5.250686808722094e-05,0.0008854224579408765
Railway,7.416298103635199e-06,6.198842584126396e-06,8.183696991181932e-06,0.0008681047474965453
